ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100.vs.Ctrl.micro.logFC	LPS100.B100.vs.Ctrl.micro.p.value
ENSOARG00000016400	101122687	CBX7	chromobox 7	-1.0868625641431	0.0301154648534091
ENSOARG00000016411	101110560		nucleoside diphosphate kinase 3	-1.4250667246423	0.0102917751291246
ENSOARG00000016412	443545	PDGFB	platelet derived growth factor subunit B	1.35545314954356	0.032435656511341
ENSOARG00000016414		FOXK2	forkhead box K2	0.922925536719605	0.0143024465729074
ENSOARG00000016416	101110811		mitochondrial ribosomal protein S34	-0.996755860463916	0.0175111168035244
ENSOARG00000016420	101102548	LOC101102548	aldehyde oxidase 2	-1.63023572362746	0.00160982375224025
ENSOARG00000016422	101117131	EVI5	ecotropic viral integration site 5	1.61774045735847	0.000260693105590201
ENSOARG00000016424		CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	1.17914834842278	0.0371172494051074
ENSOARG00000016431	101119235	TPRG1L	tumor protein p63 regulated 1 like	-0.844472526900401	0.00970185259728026
ENSOARG00000016437	101102467	TARBP2	TARBP2, RISC loading complex RNA binding subunit	-1.17529951364661	0.0030960502076804
ENSOARG00000016453	101102889	MAP3K12	mitogen-activated protein kinase kinase kinase 12	-0.855429176180723	0.0427210558538951
ENSOARG00000016460	101120852	TOR3A	torsin family 3 member A	1.43013659660958	0.00671372190384518
ENSOARG00000016461	101111336	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	-1.20319631492025	0.000958714231136708
ENSOARG00000016468	101113613	RASSF2	Ras association domain family member 2	2.36062281717048	0.00105670458945335
ENSOARG00000016471	101122507	FAM49A	family with sequence similarity 49 member A	1.97432771959502	3.91230422837814e-05
ENSOARG00000016480	101102734	LVRN	laeverin	4.44723215655324	0.000262901830832094
ENSOARG00000016481				-0.966995705545668	0.041682139137214
ENSOARG00000016501	101107739	LRRFIP2	LRR binding FLII interacting protein 2	1.09561537946983	0.00441767194361756
ENSOARG00000016502	101120749	ADGRV1	adhesion G protein-coupled receptor V1	2.51947409279513	0.000450535799863212
ENSOARG00000016505	443434	CPT1A	carnitine palmitoyltransferase 1A	-1.77060265750567	0.00706424396461407
ENSOARG00000016509	101121943	CTHRC1	collagen triple helix repeat containing 1	-0.880278854012109	0.0421888114741513
ENSOARG00000016513				1.92568935016135	0.000732904696143857
ENSOARG00000016516	101109892	CYBC1	chromosome 11 open reading frame, human C17orf62	-0.918262263719424	0.00685399572085886
ENSOARG00000016526	101104648	AAAS	aladin WD repeat nucleoporin	-0.806566601484022	0.00513703767209686
ENSOARG00000016527	101123623	TDG	thymine DNA glycosylase	1.1410994097391	0.0317069160394218
ENSOARG00000016529	101107774	LIPT1	lipoyltransferase 1	-0.922073656563534	0.0114010103878152
ENSOARG00000016539	105603547	SLC26A6	solute carrier family 26 member 6	-1.20597087908629	0.000585477090621773
ENSOARG00000016542	101105232	C12orf10	chromosome 3 open reading frame, human C12orf10	-0.711559885022891	0.0308527085878542
ENSOARG00000016552		PTS	6-pyruvoyltetrahydropterin synthase	-0.967372827779951	0.00572383434890841
ENSOARG00000016553	101102947	POLL	DNA polymerase lambda	-0.906010596354252	0.00451771560036956
ENSOARG00000016557	101102985	SIMC1	SUMO interacting motifs containing 1	-0.660258517819005	0.0191826668140128
ENSOARG00000016559	100125614	ROBO2	roundabout guidance receptor 2	1.0907580398829	0.019268822130896
ENSOARG00000016560		IGFALS	insulin like growth factor binding protein acid labile subunit	-1.32341993783023	0.00532728779308467
ENSOARG00000016564	101110345	HEXD	hexosaminidase D	-1.04055352416374	0.00916914944772235
ENSOARG00000016566				-1.04635674863333	0.026723057242327
ENSOARG00000016579	101122058	PAPOLA	poly(A) polymerase alpha	0.512433631908658	0.0459568168425458
ENSOARG00000016584	101116019	FAM171B	family with sequence similarity 171 member B	4.0162579825203	0.0040350141295066
ENSOARG00000016586				3.07146761945699	0.00240632517303683
ENSOARG00000016602	101103785	NLGN3	neuroligin 3	1.48179806294563	0.0130313694298422
ENSOARG00000016606	101105612	TMED5	transmembrane p24 trafficking protein 5	1.30996188811024	0.015374966114695
ENSOARG00000016607	443143	ITGAV	integrin subunit alpha V	2.84351322355882	0.000121047319622841
ENSOARG00000016610	101109747	HLA-DRA	mamu class II histocompatibility antigen, DR alpha chain-like	1.19120265771096	0.0274650368350288
ENSOARG00000016629		FZD1	frizzled class receptor 1	-1.6783120619804	0.0243494765179918
ENSOARG00000016658				0.988217233103451	0.00730021510941843
ENSOARG00000016663		INPP5A	inositol polyphosphate-5-phosphatase A	-0.796054411933393	0.0147194465462119
ENSOARG00000016670	101106670		cysteine sulfinic acid decarboxylase	-0.704246997560509	0.00690362707167485
ENSOARG00000016696	101117514	PYCR3	pyrroline-5-carboxylate reductase 3	-1.12815453371284	0.00306005077742583
ENSOARG00000016713	101107229	TKT	transketolase	-0.692445635694558	0.0452281273535657
ENSOARG00000016737	101110224	TNS2	tensin 2	-1.4247065491289	0.00449454761716086
ENSOARG00000016738	101121395	LRCH4	leucine rich repeats and calponin homology domain containing 4	-0.636438566351448	0.0237200781731458
ENSOARG00000016753	101108670	BCAS3	BCAS3, microtubule associated cell migration factor	-1.22705814795542	0.00334489364801053
ENSOARG00000016772	101119254	SLC15A4	solute carrier family 15 member 4	1.78987790526208	0.000399676251905034
ENSOARG00000016773	101108117	KRT18	keratin 18	2.6532719573563	0.0113480651568239
ENSOARG00000016775	100216465	ATF4	activating transcription factor 4	1.55012526089257	0.00135259232473675
ENSOARG00000016781	101106123	LOC101106123	dynein light chain 1, cytoplasmic	-1.13908814249472	0.00402235686513961
ENSOARG00000016794	101105305	ZMYM3	zinc finger MYM-type containing 3	-0.941681925952435	0.00553542293256615
ENSOARG00000016804	101113450	FBXW4	F-box and WD repeat domain containing 4	-0.778980831985912	0.00982904816388947
ENSOARG00000016809	101112759	NCAM1	neural cell adhesion molecule 1	-0.59839619900676	0.0276073861427379
ENSOARG00000016817	101113371	HNRNPUL2	heterogeneous nuclear ribonucleoprotein U like 2	-0.598294139700429	0.0186869664680312
ENSOARG00000016826	101106406	KLHL13	kelch like family member 13	-1.1206541185318	0.0324798359028179
ENSOARG00000016829	100171396	CSNK1D	casein kinase 1 delta	0.824135395863594	0.0126990816992577
ENSOARG00000016847	101104954	COG7	component of oligomeric golgi complex 7	-0.640118873151835	0.0329192726171329
ENSOARG00000016864	101110861	LONP2	lon peptidase 2, peroxisomal	-1.14510632482285	0.000518751391289353
ENSOARG00000016889	101104955	TSC22D4	TSC22 domain family member 4	-1.00583679395276	0.00398452946922095
ENSOARG00000016893	101122625	QSER1	glutamine and serine rich 1	1.7254197191443	0.0054371364387851
ENSOARG00000016905	101121571	CWC22	CWC22 spliceosome associated protein homolog	0.627000602129321	0.0179503416219845
ENSOARG00000016912	101111643	SLC16A3	solute carrier family 16 member 3	1.25370549463128	0.00500483480613536
ENSOARG00000016916	101103609	NPM3	nucleophosmin/nucleoplasmin 3	-1.04104974319949	0.0269072709915558
ENSOARG00000016925	101115575	ALKBH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase	-0.879230681048156	0.0167428619356697
ENSOARG00000016933	101105282	VPS29	VPS29, retromer complex component	0.626625671083104	0.0440570060129951
ENSOARG00000016937	101105757	F2R	coagulation factor II thrombin receptor	1.78604121201283	0.0237328569180763
ENSOARG00000016948	101105971	MEPCE	methylphosphate capping enzyme	-1.26161233377288	0.000189196827404781
ENSOARG00000016953	101112132	GTPBP3	GTP binding protein 3, mitochondrial	-0.500397733068478	0.0407758580988416
ENSOARG00000016954	101102886	TTC32	tetratricopeptide repeat domain 32	-1.1312955200778	0.0237509732017944
ENSOARG00000017007	101117133	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	-1.48890026582039	0.00127184938096762
ENSOARG00000017013	101114440	PAIP2	poly(A) binding protein interacting protein 2	-0.604621769370985	0.0252725734777562
ENSOARG00000017028	101113098	DEPDC7	DEP domain containing 7	-0.858684045975608	0.0473717938706797
ENSOARG00000017034	101119390	STK17A	serine/threonine kinase 17a	0.870165510920488	0.0184947305330817
ENSOARG00000017039	101106791	H2AFX	histone H2AX	-0.81592938271814	0.0427210558538951
ENSOARG00000017043	101119911	ARMC1	armadillo repeat containing 1	0.708635348581223	0.0419883102700162
ENSOARG00000017054	101108946	RNF26	ring finger protein 26	-0.821258321788327	0.0163380522728912
ENSOARG00000017055	101112226	WDR41	WD repeat domain 41	-0.853593891644945	0.0240955212937419
ENSOARG00000017059	101112621	TBL3	transducin beta like 3	-0.725264222408909	0.0448842237199179
ENSOARG00000017060		ANO8	anoctamin 8	-0.758922584505048	0.0206594551998956
ENSOARG00000017096				-1.74750501786422	0.000420429292188024
ENSOARG00000017129	101122975	ZBED5	zinc finger BED-type containing 5	-1.55084315793969	0.000406282585147624
ENSOARG00000017131	101104073	KLF10	Kruppel like factor 10	-1.35153701783603	0.016591801126863
ENSOARG00000017174	101102730	SLAIN2	SLAIN motif family member 2	0.739295624193973	0.0189322239577373
ENSOARG00000017176	101106035	TCTN1	tectonic family member 1	0.871071146859865	0.0100374357073306
ENSOARG00000017194	101116850	RAB22A	RAB22A, member RAS oncogene family	0.708643879237306	0.0264332080255587
ENSOARG00000017196	101110782	PARD3	par-3 family cell polarity regulator	-0.955348371658733	0.037643768228543
ENSOARG00000017206	101110287	CFAP46	cilia- and flagella-associated protein 46	-1.12590284228955	0.00227320259591358
ENSOARG00000017218	101105207	PALB2	partner and localizer of BRCA2	-1.46103589009124	0.00013810505105739
ENSOARG00000017225	101104277	MRPS25	mitochondrial ribosomal protein S25	-1.16390953287864	0.0174043923126983
ENSOARG00000017239	101112812	MRPL34	mitochondrial ribosomal protein L34	-0.769037487110712	0.0209688123427986
ENSOARG00000017242	101114095	ACVRL1	activin A receptor like type 1	2.31110713155751	0.000141765787192268
ENSOARG00000017245	101116488	ABHD13	abhydrolase domain containing 13	0.668589933798761	0.0125275583512711
ENSOARG00000017246		SLC25A1	solute carrier family 25 member 1	-1.11861948008736	0.00114883658347194
ENSOARG00000017253	101113483	ANKRD33	ankyrin repeat domain 33	1.38636147894702	0.00997076174369203
ENSOARG00000017266	101118659	ABCD3	ATP binding cassette subfamily D member 3	-0.969396016437931	0.0301154648534091
ENSOARG00000017273	101122999	PROS1	protein S	0.579284817342825	0.0414440681616227
ENSOARG00000017288	101123096	PLEKHA3	pleckstrin homology domain containing A3	0.779904207171071	0.0381868771143867
ENSOARG00000017302	101107346	HS1BP3	HCLS1 binding protein 3	-0.824309675257537	0.0349256150885766
ENSOARG00000017303	101108120	ADSL	adenylosuccinate lyase	-0.73419851871025	0.0254745962970639
ENSOARG00000017321	101102289	PRKRA	protein activator of interferon induced protein kinase EIF2AK2	-1.35507120473464	0.00158566416005002
ENSOARG00000017328	101118918	F3	coagulation factor III, tissue factor	4.53252570363895	0.000335427287140775
ENSOARG00000017330	100305129	MRPL32	mitochondrial ribosomal protein L32	0.601806264379131	0.0436138747970365
ENSOARG00000017337	101123516	ARL13B	ADP ribosylation factor like GTPase 13B	1.19321257838131	0.024890139495949
ENSOARG00000017358		PMEPA1	prostate transmembrane protein, androgen induced 1	-1.00532484810431	0.0199781922645887
ENSOARG00000017386	101118230	TRIM27	tripartite motif containing 27	-0.727043100902153	0.00773992000150405
ENSOARG00000017396	101113145	BABAM1	BRISC and BRCA1 A complex member 1	-0.777388553124245	0.0147695958486422
ENSOARG00000017404	101122958	TAX1BP3	Tax1 binding protein 3	-0.906341487791242	0.00313290623813209
ENSOARG00000017409	101107035		dicarbonyl and L-xylulose reductase	-0.926306202824496	0.0029153755751065
ENSOARG00000017422	101122916	C7orf43	chromosome 24 open reading frame, human C7orf43	0.639605349356189	0.0216987041783016
ENSOARG00000017430	101102858	ARL6	ADP ribosylation factor like GTPase 6	-1.10863604765047	0.0201188130183803
ENSOARG00000017433	101118034	ZSWIM7	zinc finger SWIM-type containing 7	-0.965940435763218	0.0142416697398934
ENSOARG00000017438	101110607	SRP9	signal recognition particle 9	1.06049431926618	0.00818693379404534
ENSOARG00000017455	105602801	NUDT6	nudix hydrolase 6	-0.932418574730798	0.0191092384896136
ENSOARG00000017456	101116975		natural resistance-associated macrophage protein 2-like	2.1672837533513	4.25311237754702e-05
ENSOARG00000017461	101115446	POLR3B	RNA polymerase III subunit B	-0.842744597702567	0.00942929801396811
ENSOARG00000017475	443524	INHBA	inhibin subunit beta A	3.7054017934931	0.00209924900035639
ENSOARG00000017480	101101983	ELL2	elongation factor for RNA polymerase II 2	0.689355939281579	0.0199781922645887
ENSOARG00000017489	101114977	AACS	acetoacetyl-CoA synthetase	-0.729487395414767	0.0238627566568794
ENSOARG00000017493	101106774	SEPT11	septin 11	1.97011545862054	0.00122527510976429
ENSOARG00000017503	101106284	PPP1CC	protein phosphatase 1 catalytic subunit gamma	1.41130797929507	0.00187454197170209
ENSOARG00000017515	101123335	LTO1	LTO1, ABCE1 maturation factor	0.934776573818344	0.00733336682114383
ENSOARG00000017517	101109361	SERINC5	serine incorporator 5	1.42449167652824	0.00250005193611105
ENSOARG00000017518		RWDD3	RWD domain containing 3	-1.26159649382	0.0022993414135573
ENSOARG00000017520	101113429	CYLD	CYLD lysine 63 deubiquitinase	0.99707686714015	0.00302061220680759
ENSOARG00000017527	101113943	ADHFE1	alcohol dehydrogenase, iron containing 1	-1.22268402012314	0.0209688123427986
ENSOARG00000017533				1.19569710756244	0.00225814085988394
ENSOARG00000017538	101108671	P3H4	prolyl 3-hydroxylase family member 4 (non-enzymatic)	-0.757949477559762	0.0264320287626382
ENSOARG00000017553				-0.797506609352213	0.0470601263201234
ENSOARG00000017560	101117848	FLRT2	fibronectin leucine rich transmembrane protein 2	1.32835676603897	0.00331662825638009
ENSOARG00000017567		MRTFA	myocardin related transcription factor A	-0.546533747691574	0.0470041245388543
ENSOARG00000017578	101109840	SNX7	sorting nexin 7	-1.16220891194558	0.00173343068281164
ENSOARG00000017586	101107493	CNPY4	canopy FGF signaling regulator 4	-0.582715078902362	0.0307677674720695
ENSOARG00000017608	101121480	D2HGDH	D-2-hydroxyglutarate dehydrogenase	-0.945574372676402	0.00205985016281045
ENSOARG00000017609				-1.57434820417226	0.00152576247242077
ENSOARG00000017614	101110255	MIIP	migration and invasion inhibitory protein	0.616362928466351	0.0277120335863857
ENSOARG00000017620	101121994	DTYMK	deoxythymidylate kinase	-0.947817923757055	0.0312746871654339
ENSOARG00000017627	101115143	GPCPD1	glycerophosphocholine phosphodiesterase 1	0.937847424482096	0.0266266124045607
ENSOARG00000017630	101113931	NR2F6	nuclear receptor subfamily 2 group F member 6	-1.19806497378955	0.00199914415655579
ENSOARG00000017637	101107297		centromere protein X	-0.678630139741358	0.0377482876375719
ENSOARG00000017639	443535	LDLR	low density lipoprotein receptor	1.26573748526304	0.00972697076000544
ENSOARG00000017641	101103793	BMPR2	Ovis aries bone morphogenetic protein receptor type 2 (BMPR2), mRNA.	0.750570903297595	0.0492216222233857
ENSOARG00000017643	101107539	ASPSCR1	ASPSCR1, UBX domain containing tether for SLC2A4	-1.22369531991842	0.0161687100118189
ENSOARG00000017652	101122750	BOK	BCL2 family apoptosis regulator BOK	-1.59164592370166	0.00760416866251852
ENSOARG00000017656	101123178	TAF6	TATA-box binding protein associated factor 6	-0.700924622764818	0.00945971843396841
ENSOARG00000017682	101108455	RTL5	retrotransposon Gag like 5	-1.72022176704744	0.000111522644249393
ENSOARG00000017694	101106127	CLDND1	claudin domain containing 1	2.2645842585218	0.00148870235860472
ENSOARG00000017704	101111324	NOTCH4	notch 4	-1.5617590141774	0.0201812453759663
ENSOARG00000017707		BRI3BP	BRI3 binding protein	-0.909125304287578	0.0274446552992541
ENSOARG00000017721	101114188	OCEL1	occludin/ELL domain containing 1	-1.30858122007027	0.00234218434126912
ENSOARG00000017722	101107757	AP4M1	adaptor related protein complex 4 subunit mu 1	-0.740887453517472	0.0295673735563734
ENSOARG00000017729	101110924	PCED1B	PC-esterase domain containing 1B	-1.47274753289229	0.0175918302924966
ENSOARG00000017746		HASPIN	histone H3 associated protein kinase	-0.986522851957552	0.0246355508606021
ENSOARG00000017748	101116778	SLC3A2	solute carrier family 3 member 2	0.903413914450313	0.0172030263811322
ENSOARG00000017767	101110497	KRIT1	KRIT1, ankyrin repeat containing	0.78969493745592	0.0153137778042053
ENSOARG00000017770	101108239	ULK2	unc-51 like autophagy activating kinase 2	-1.05849243390868	0.0490131482719855
ENSOARG00000017774	101111821	PYCR2	pyrroline-5-carboxylate reductase 2	-0.865904210740683	0.00239049752351727
ENSOARG00000017776	101110121	HDAC8	histone deacetylase 8	0.675029897773466	0.0175645195136589
ENSOARG00000017782	101113422	MAFG	MAF bZIP transcription factor G	1.09115224410381	0.0112554237405372
ENSOARG00000017783				-0.765341066348546	0.0439577839171991
ENSOARG00000017784	101120177	KLHL11	kelch like family member 11	-0.639551632983672	0.0307677674720695
ENSOARG00000017788	101108066	SIRT7	sirtuin 7	-0.758752164145343	0.0116709699438266
ENSOARG00000017792	101109347	XPNPEP3	X-prolyl aminopeptidase 3	-0.64556445876462	0.028210738768495
ENSOARG00000017793	101113906	IRF2BP2	interferon regulatory factor 2 binding protein 2	-1.38701816522439	0.000410115574218743
ENSOARG00000017802	101108015	MCM7	minichromosome maintenance complex component 7	-0.923363247703676	0.00447274122103522
ENSOARG00000017820	101107511	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	1.12665226267085	0.00641338939843263
ENSOARG00000017822				-1.03326637902155	0.0268266942561661
ENSOARG00000017825	101122444	SGK3	serum/glucocorticoid regulated kinase family member 3	1.44575682359654	0.00332214012906621
ENSOARG00000017827	101102439	AP5B1	adaptor related protein complex 5 subunit beta 1	-1.96719930718427	9.98075832681912e-05
ENSOARG00000017832	101107005		family with sequence similarity 228 member B	-0.904441282989319	0.0257689958348201
ENSOARG00000017837	101119409	TOR1AIP1	torsin 1A interacting protein 1	0.931617224454405	0.0221533197710306
ENSOARG00000017853	101114547	AKTIP	AKT interacting protein	-0.787200809546747	0.00678569495281201
ENSOARG00000017885	101121885	TXNRD2	thioredoxin reductase 2	-1.05435879283041	0.0154366125111039
ENSOARG00000017887	101115055	RPGRIP1L	RPGRIP1 like	-1.0333150777827	0.0201188130183803
ENSOARG00000017888	101107834	FILIP1L	filamin A interacting protein 1 like	-1.54301202086602	0.0313035724606105
ENSOARG00000017890	101103558	BTBD11	BTB domain containing 11	1.67034364144583	0.00261531759080458
ENSOARG00000017894		PGBD1	piggyBac transposable element derived 1	-0.787669762596216	0.00781317567486206
ENSOARG00000017896	101106753		family with sequence similarity 228 member A	-1.35031335288718	0.0164681545758237
ENSOARG00000017899	101108270	CMSS1	cms1 ribosomal small subunit homolog	-0.680079714637	0.0467758629547485
ENSOARG00000017900	101103661	TMEM9	transmembrane protein 9	-1.10485724166371	0.00157026738070833
ENSOARG00000017903	101111164	TMEM164	transmembrane protein 164	1.05285296627143	0.00447274122103522
ENSOARG00000017909	101102670	CD59	CD59 molecule (CD59 blood group)	0.763479442749467	0.0308371857376021
ENSOARG00000017919	101104358	SHTN1	shootin 1	1.65095942079992	0.00212939699162356
ENSOARG00000017926	101102484	ERAP2	endoplasmic reticulum aminopeptidase 2	1.34515767293301	0.0123372066617825
ENSOARG00000017940	101103084	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	1.54459551482879	0.00631748091039774
ENSOARG00000017949	101122613	CEP350	centrosomal protein 350	1.08226369636869	0.00158394583055921
ENSOARG00000017953	101111419	ZSCAN21	zinc finger with KRAB and SCAN domains 1	-1.39132176093246	0.000549248936883431
ENSOARG00000017957	101119894	GPD1	glycerol-3-phosphate dehydrogenase 1	-0.768202169985816	0.0263375162960797
ENSOARG00000017960	101111306	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	-1.02485741895901	0.000578322213968309
ENSOARG00000017982		PRXL2B	peroxiredoxin like 2B	-1.06848233620035	0.0324243307673484
ENSOARG00000017993	101116247	TRMT6	tRNA methyltransferase 6	0.809033280214265	0.0137092158456106
ENSOARG00000017999	101112030	CHIC1	cysteine rich hydrophobic domain 1	0.932988292119932	0.0324410805659758
ENSOARG00000018011	101103093	ISCU	iron-sulfur cluster assembly enzyme	-0.620005361674785	0.0249477746574785
ENSOARG00000018014	101123639	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B	-1.02614547209371	0.0370066515225412
ENSOARG00000018036	101115592	ECI1	enoyl-CoA delta isomerase 1	-1.10761252283533	0.00232483188385103
ENSOARG00000018057	101112954	RLIM	ring finger protein, LIM domain interacting	1.01053343243414	0.0174789417430647
ENSOARG00000018064	101105283	SH2B3	SH2B adaptor protein 3	1.86753075524891	0.002861894694798
ENSOARG00000018065	101107680	CENPO	centromere protein O	-0.806205734023077	0.0195217169925624
ENSOARG00000018074	101111266	LOC101111266	protein FAM26F-like	-0.789186702003708	0.0323485006537018
ENSOARG00000018076	101109820	CYB5R1	NADH-cytochrome b5 reductase 1	-0.865128239308596	0.00320484608625348
ENSOARG00000018084	780464	RAB11A	RAB11A, member RAS oncogene family	0.877542088823557	0.0152396562225952
ENSOARG00000018109	101110985	TFG	TRK-fused gene	0.640896955129786	0.0462120273609145
ENSOARG00000018118	101103814	OCIAD2	OCIA domain containing 2	-0.842216065288142	0.0135966725054663
ENSOARG00000018123	101119487	SARM1	sterile alpha and TIR motif containing 1	-0.953428550494965	0.045493077820783
ENSOARG00000018140	101110406	RANGAP1	Ran GTPase activating protein 1	-0.547035993988982	0.041940592055506
ENSOARG00000018148	100037670	KIAA2013	KIAA2013 ortholog	-0.880615746455934	0.0041681348278354
ENSOARG00000018152	101104050	CYP20A1	cytochrome P450 20A1	-0.646763985840606	0.0383395262101222
ENSOARG00000018167	101120682	MGME1	mitochondrial genome maintenance exonuclease 1	-1.30286580045679	0.0032445748633464
ENSOARG00000018170	101113989	ABCB7	ATP binding cassette subfamily B member 7	0.922113267207014	0.00282340342356339
ENSOARG00000018188				-0.664823933805965	0.0116773713218975
ENSOARG00000018212	101111801	CHD1	chromodomain helicase DNA binding protein 1	1.33341206883612	0.0112682528521215
ENSOARG00000018225	101102815	ZWILCH	zwilch kinetochore protein	-0.792594629609564	0.0129763101657196
ENSOARG00000018226		RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	1.44589476591562	0.0030191515038473
ENSOARG00000018233				-0.917808343886878	0.0085447999142129
ENSOARG00000018237	101116226	TCAF1	TRPM8 channel-associated factor 1	-0.919456050659184	0.0498123266711838
ENSOARG00000018247	443212	POMC	proopiomelanocortin	1.73619611260401	0.0249876267656737
ENSOARG00000018259		HIST1H2BN	histone cluster 1 H2B family member n	-0.988455678905946	0.00186069113919736
ENSOARG00000018279	101120155	LARGE1	LARGE xylosyl- and glucuronyltransferase 1	-1.33893312178947	0.00290496068532763
ENSOARG00000018283	100170111	CYP3A24	cytochrome P450 CYP3A24	4.45200756185203	0.00315130225405274
ENSOARG00000018286	101123394	XPR1	xenotropic and polytropic retrovirus receptor 1	2.55964765993364	0.00136329751008553
ENSOARG00000018298	100500776	DNMT3A	DNA methyltransferase 3 alpha	0.809002484485347	0.0472557416846875
ENSOARG00000018309	101114102	PEX1	peroxisomal biogenesis factor 1	-1.11411521412065	0.00110822707643715
ENSOARG00000018310	101110073	MAPK7	mitogen-activated protein kinase 7	1.28188465227429	0.00170703414196526
ENSOARG00000018311	101105262	TRAPPC1	trafficking protein particle complex 1	-0.757700805256396	0.0105704751996758
ENSOARG00000018316	101119722	TMCO6	transmembrane and coiled-coil domains 6	-0.74682712563902	0.00644439333492589
ENSOARG00000018323	101113593	DCUN1D4	defective in cullin neddylation 1 domain containing 4	0.862206097613479	0.0456224200383002
ENSOARG00000018341	101117184	MT1X	metallothionein-1A	-1.63608297222562	0.00611640054683939
ENSOARG00000018342	101117333	CCSER1	coiled-coil serine rich protein 1	1.55649792795004	0.00899483501777604
ENSOARG00000018343	101117955	LOC101117955	metallothionein-2	-2.24992136095725	0.00247257428190297
ENSOARG00000018344	101108127	ALDH7A1	aldehyde dehydrogenase 7 family member A1	-0.590258784562447	0.04058620437333
ENSOARG00000018349	101116379	ATP7A	ATPase copper transporting alpha	1.29364747796223	0.0195605253222195
ENSOARG00000018353	101104069	MAP2K5	mitogen-activated protein kinase kinase 5	-0.635399546351946	0.0203394575868485
ENSOARG00000018354	101109165		dystrobrevin beta	-1.08743557533879	0.0380032258758196
ENSOARG00000018361		ZDHHC8	zinc finger DHHC-type containing 8	-1.38975204773826	0.000719628055970891
ENSOARG00000018364	101117260	OXLD1	oxidoreductase like domain containing 1	-1.18016149559179	0.00742338088561165
ENSOARG00000018366	101119302	CCDC151	coiled-coil domain containing 151	0.838207234603292	0.0472204287641734
ENSOARG00000018378	101103469	FAM3C	family with sequence similarity 3 member C	0.781895724308644	0.0131643446772964
ENSOARG00000018385	101103393	PMM1	phosphomannomutase 1	-1.15935652919169	0.00580375361169808
ENSOARG00000018387	101120679	CNTROB	centrobin, centriole duplication and spindle assembly protein	-1.17415163731497	0.00353626423633858
ENSOARG00000018388	101118468	BBS2	Bardet-Biedl syndrome 2	-1.13779024745166	0.00115618903732573
ENSOARG00000018389	101103230	GSAP	gamma-secretase activating protein	1.72036685513315	0.0015560102750117
ENSOARG00000018392	101111872	DESI1	desumoylating isopeptidase 1	1.6216622786055	0.000832380012850565
ENSOARG00000018393	101104493	PIAS1	protein inhibitor of activated STAT 1	0.892931611540527	0.00560026730468848
ENSOARG00000018396	101115654	SCARB1	scavenger receptor class B member 1	-1.60488194519307	0.000538897411890781
ENSOARG00000018399	101103830	TTI1	TELO2 interacting protein 1	-0.915247187577059	0.017657776224693
ENSOARG00000018401	101122937	FMNL3	formin like 3	1.94551271619882	0.000236802594570688
ENSOARG00000018412	101107047	BRAP	BRCA1 associated protein	-0.560230834721358	0.0461760291724631
ENSOARG00000018417	678673	CLN6	CLN6, transmembrane ER protein	-1.36956822700606	0.00190145519440568
ENSOARG00000018418	101120240	DND1	DND microRNA-mediated repression inhibitor 1	0.745511824874423	0.0402704012620181
ENSOARG00000018420	101109587	LOC101109587	putative protein FAM172B	1.15670398378111	0.0108954071065631
ENSOARG00000018432	101120652	TOM1	target of myb1 membrane trafficking protein	-1.08556460231459	0.000406412570688143
ENSOARG00000018434	100135449	NRP2	neuropilin 2	1.23144939143902	0.0336054470676995
ENSOARG00000018435	101104081	RPRD1B	regulation of nuclear pre-mRNA domain containing 1B	1.25885745779283	0.0262450826456457
ENSOARG00000018439				-1.39672233388509	0.000482437139884114
ENSOARG00000018441	101105431	FAM210B	family with sequence similarity 210 member B	-1.18792281252933	0.0419406242330977
ENSOARG00000018448	101109108	FAAP100	FA core complex associated protein 100	-0.863084227015846	0.00789493843468706
ENSOARG00000018459	101118653	MTG1	mitochondrial ribosome associated GTPase 1	-0.944200975892991	0.0225489385184413
ENSOARG00000018460	101119240	NUDT21	nudix hydrolase 21	0.830718173667655	0.0123182929544852
ENSOARG00000018468	101116783	FADD	Fas associated via death domain	0.664687591522173	0.0454174588466638
ENSOARG00000018471	101120491	HARS	histidyl-tRNA synthetase	0.696439400734604	0.0373253166009968
ENSOARG00000018475		HMOX1	heme oxygenase 1	-2.3730864673675	3.13962064617963e-05
ENSOARG00000018480		FAM83G	family with sequence similarity 83 member G	-1.58041253129138	0.000611009194984268
ENSOARG00000018488	101116111	TEDC2	tubulin epsilon and delta complex 2	-0.764611046959358	0.0321624735053416
ENSOARG00000018493		GPC1	glypican 1	-0.63016871107587	0.0207343470275601
ENSOARG00000018495	101115188	INO80D	INO80 complex subunit D	1.73654614694033	0.00325599509201582
ENSOARG00000018498		PEX10	peroxisomal biogenesis factor 10	-1.35124839545958	0.00423027823867331
