ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.vs.Ctrl.micro.logFC	LPS100.vs.Ctrl.micro.p.value
ENSOARG00000021064	101115796	FERMT2	fermitin family member 2	1.21342898002514	0.0142680018410129
ENSOARG00000021081	101117672	WDHD1	WD repeat and HMG-box DNA binding protein 1	-1.15460465814198	0.0186824563625616
ENSOARG00000021088	101118449	LGALS3	galectin 3	-1.0767096041188	0.0370721476840743
ENSOARG00000021113	101122953	KIAA0586	KIAA0586 ortholog	-1.44671379730729	0.00804145865051672
ENSOARG00000021133	101105333	SLC38A6	solute carrier family 38 member 6	-1.38719664092598	0.0226356590250404
ENSOARG00000021150	101109020	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	-0.8945779554681	0.0399928000102298
ENSOARG00000021160	101111372	FUT8	fucosyltransferase 8	-1.44466792615244	0.0349402002665921
ENSOARG00000021169	101114362	PIGH	phosphatidylinositol glycan anchor biosynthesis class H	1.6384598319331	0.0285662802956379
ENSOARG00000025176	105614854	LOC105614854	calmodulin-alpha	-1.2148810574735	0.0113610704111906
ENSOARG00000025180	443216	CD14	CD14 molecule	-1.08004729775854	0.0341071793038151
ENSOARG00000025194	100302312	ARL4C	ADP ribosylation factor like GTPase 4C	-0.994827203215128	0.0163174607824934
